secteur;professions;professions_detaillees;annee;effectifs
Privé ;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2003;13494
Privé ;2 - Internes                                    ;2 - Internes              ;2003;1248
Privé ;5 - Aides-soignants                             ;5 - Aides-soignants       ;2003;50556
Privé ;4 - Infirmiers                                  ;4 - Infirmiers            ;2004;67939
Privé ;5 - Aides-soignants                             ;5 - Aides-soignants       ;2004;50894
Privé ;3 - Sages-femmes                                ;3 - Sages-femmes          ;2005;3328
Privé ;5 - Aides-soignants                             ;5 - Aides-soignants       ;2005;52337
Privé ;6 - Filière administrative                      ;6 - Filière administrative;2005;35543
Privé ;7 - Autre personnel (soignants et non soignants);;2005;89815
Privé ;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2006;14565
Privé ;5 - Aides-soignants                             ;5 - Aides-soignants       ;2006;54016
Privé ;6 - Filière administrative                      ;6 - Filière administrative;2006;36024
Privé ;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2007;14725
Privé ;5 - Aides-soignants                             ;5 - Aides-soignants       ;2007;54741
Privé ;6 - Filière administrative                      ;6 - Filière administrative;2007;36787
Privé ;4 - Infirmiers                                  ;4 - Infirmiers            ;2008;77442
Privé ;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2009;15391
Privé ;6 - Filière administrative                      ;6 - Filière administrative;2009;38101
Privé ;4 - Infirmiers                                  ;4 - Infirmiers            ;2010;82133
Privé ;;72 - Autres non soignants ;2010;30337
Privé ;4 - Infirmiers                                  ;4 - Infirmiers            ;2011;82754
Privé ;;71 - Autres soignants     ;2011;60595
Privé ;2 - Internes                                    ;2 - Internes              ;2012;1873
Privé ;3 - Sages-femmes                                ;3 - Sages-femmes          ;2012;4023
Privé ;6 - Filière administrative                      ;6 - Filière administrative;2012;40475
Privé ;7 - Autre personnel (soignants et non soignants);;2012;91424
Privé ;;71 - Autres soignants     ;2013;61246
Privé ;6 - Filière administrative                      ;6 - Filière administrative;2013;40678
Privé ;;72 - Autres non soignants ;2013;31066
Privé ;7 - Autre personnel (soignants et non soignants);;2013;92312
Privé ;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2014;17141
Privé ;3 - Sages-femmes                                ;3 - Sages-femmes          ;2014;3993
Privé ;;72 - Autres non soignants ;2014;31736
Privé ;3 - Sages-femmes                                ;3 - Sages-femmes          ;2015;3953
Privé ;4 - Infirmiers                                  ;4 - Infirmiers            ;2015;89412
Privé ;;71 - Autres soignants     ;2015;61571
Privé ;7 - Autre personnel (soignants et non soignants);;2015;93550
Privé ;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2016;18196
Privé ;;72 - Autres non soignants ;2016;32457
Privé ;7 - Autre personnel (soignants et non soignants);;2016;94646
Privé ;3 - Sages-femmes                                ;3 - Sages-femmes          ;2017;3919
Privé ;5 - Aides-soignants                             ;5 - Aides-soignants       ;2017;59899
Privé ;6 - Filière administrative                      ;6 - Filière administrative;2017;42246
Privé ;5 - Aides-soignants                             ;5 - Aides-soignants       ;2018;59980
Privé ;;71 - Autres soignants     ;2018;60937
Privé ;6 - Filière administrative                      ;6 - Filière administrative;2018;41822
Privé ;2 - Internes                                    ;2 - Internes              ;2019;2645
Privé ;3 - Sages-femmes                                ;3 - Sages-femmes          ;2019;3767
Privé ;4 - Infirmiers                                  ;4 - Infirmiers            ;2019;91069
Privé ;;71 - Autres soignants     ;2019;60581
Privé ;2 - Internes                                    ;2 - Internes              ;2020;2654
Privé ;4 - Infirmiers                                  ;4 - Infirmiers            ;2020;90379
Privé ;5 - Aides-soignants                             ;5 - Aides-soignants       ;2020;58812
Privé ;;72 - Autres non soignants ;2020;32309
Privé ;2 - Internes                                    ;2 - Internes              ;2021;2663
Privé ;5 - Aides-soignants                             ;5 - Aides-soignants       ;2021;58723
Privé ;;72 - Autres non soignants ;2021;33496
Privé ;7 - Autre personnel (soignants et non soignants);;2021;95062
Privé ;4 - Infirmiers                                  ;4 - Infirmiers            ;2003;66636
Privé ;6 - Filière administrative                      ;6 - Filière administrative;2003;34836
Privé ;7 - Autre personnel (soignants et non soignants);;2003;90368
Privé ;7 - Autre personnel (soignants et non soignants);;2004;90275
Privé ;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2005;14214
Privé ;2 - Internes                                    ;2 - Internes              ;2005;1233
Privé ;4 - Infirmiers                                  ;4 - Infirmiers            ;2005;70574
Privé ;3 - Sages-femmes                                ;3 - Sages-femmes          ;2006;3538
Privé ;7 - Autre personnel (soignants et non soignants);;2006;89158
Privé ;2 - Internes                                    ;2 - Internes              ;2007;1337
Privé ;3 - Sages-femmes                                ;3 - Sages-femmes          ;2007;3451
Privé ;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2008;15085
Privé ;3 - Sages-femmes                                ;3 - Sages-femmes          ;2008;3627
Privé ;5 - Aides-soignants                             ;5 - Aides-soignants       ;2008;56430
Privé ;6 - Filière administrative                      ;6 - Filière administrative;2008;37251
Privé ;2 - Internes                                    ;2 - Internes              ;2009;1477
Privé ;5 - Aides-soignants                             ;5 - Aides-soignants       ;2009;57983
Privé ;7 - Autre personnel (soignants et non soignants);;2009;90477
Privé ;3 - Sages-femmes                                ;3 - Sages-femmes          ;2010;3988
Privé ;5 - Aides-soignants                             ;5 - Aides-soignants       ;2010;58953
Privé ;6 - Filière administrative                      ;6 - Filière administrative;2010;39039
Privé ;2 - Internes                                    ;2 - Internes              ;2011;1678
Privé ;7 - Autre personnel (soignants et non soignants);;2011;90870
Privé ;4 - Infirmiers                                  ;4 - Infirmiers            ;2012;85426
