secteur;professions;professions_detaillees;annee;effectifs
Public;2 - Internes                                    ;2 - Internes              ;2004;19089
Public;6 - Filière administrative                      ;6 - Filière administrative;2004;94815
Public;3 - Sages-femmes                                ;3 - Sages-femmes          ;2005;9706
Public;4 - Infirmiers                                  ;4 - Infirmiers            ;2005;229294
Public;5 - Aides-soignants                             ;5 - Aides-soignants       ;2005;203546
Public;6 - Filière administrative                      ;6 - Filière administrative;2005;98759
Public;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2006;76798
Public;3 - Sages-femmes                                ;3 - Sages-femmes          ;2006;10074
Public;4 - Infirmiers                                  ;4 - Infirmiers            ;2006;232149
Public;2 - Internes                                    ;2 - Internes              ;2007;21046
Public;2 - Internes                                    ;2 - Internes              ;2008;21882
Public;5 - Aides-soignants                             ;5 - Aides-soignants       ;2008;210579
Public;7 - Autre personnel (soignants et non soignants);;2008;331608
Public;2 - Internes                                    ;2 - Internes              ;2009;23589
Public;4 - Infirmiers                                  ;4 - Infirmiers            ;2009;238005
Public;6 - Filière administrative                      ;6 - Filière administrative;2009;100959
Public;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2010;81396
Public;3 - Sages-femmes                                ;3 - Sages-femmes          ;2010;11352
Public;6 - Filière administrative                      ;6 - Filière administrative;2010;102448
Public;;72 - Autres non soignants ;2010;163582
Public;5 - Aides-soignants                             ;5 - Aides-soignants       ;2011;218389
Public;;71 - Autres soignants     ;2011;170446
Public;2 - Internes                                    ;2 - Internes              ;2012;26152
Public;4 - Infirmiers                                  ;4 - Infirmiers            ;2012;250354
Public;;71 - Autres soignants     ;2012;170182
Public;7 - Autre personnel (soignants et non soignants);;2012;336189
Public;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2013;85892
Public;4 - Infirmiers                                  ;4 - Infirmiers            ;2013;254111
Public;6 - Filière administrative                      ;6 - Filière administrative;2014;104310
Public;;72 - Autres non soignants ;2014;168831
Public;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2015;86786
Public;2 - Internes                                    ;2 - Internes              ;2015;30274
Public;3 - Sages-femmes                                ;3 - Sages-femmes          ;2015;12692
Public;6 - Filière administrative                      ;6 - Filière administrative;2015;104397
Public;7 - Autre personnel (soignants et non soignants);;2015;338174
Public;4 - Infirmiers                                  ;4 - Infirmiers            ;2016;258815
Public;6 - Filière administrative                      ;6 - Filière administrative;2016;103598
Public;;72 - Autres non soignants ;2016;168261
Public;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2017;87746
