secteur;professions;professions_detaillees;annee;effectifs;professions_code
Public;2 - Internes                                    ;2 - Internes              ;2004;19089;2
Public;6 - Filière administrative                      ;6 - Filière administrative;2004;94815;6
Public;3 - Sages-femmes                                ;3 - Sages-femmes          ;2005;9706;3
Public;4 - Infirmiers                                  ;4 - Infirmiers            ;2005;229294;4
Public;5 - Aides-soignants                             ;5 - Aides-soignants       ;2005;203546;5
Public;6 - Filière administrative                      ;6 - Filière administrative;2005;98759;6
Public;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2006;76798;1
Public;3 - Sages-femmes                                ;3 - Sages-femmes          ;2006;10074;3
Public;4 - Infirmiers                                  ;4 - Infirmiers            ;2006;232149;4
Public;2 - Internes                                    ;2 - Internes              ;2007;21046;2
Public;2 - Internes                                    ;2 - Internes              ;2008;21882;2
Public;5 - Aides-soignants                             ;5 - Aides-soignants       ;2008;210579;5
Public;7 - Autre personnel (soignants et non soignants);;2008;331608;7
Public;2 - Internes                                    ;2 - Internes              ;2009;23589;2
Public;4 - Infirmiers                                  ;4 - Infirmiers            ;2009;238005;4
Public;6 - Filière administrative                      ;6 - Filière administrative;2009;100959;6
Public;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2010;81396;1
Public;3 - Sages-femmes                                ;3 - Sages-femmes          ;2010;11352;3
Public;6 - Filière administrative                      ;6 - Filière administrative;2010;102448;6
Public;;72 - Autres non soignants ;2010;163582;
Public;5 - Aides-soignants                             ;5 - Aides-soignants       ;2011;218389;5
Public;;71 - Autres soignants     ;2011;170446;
Public;2 - Internes                                    ;2 - Internes              ;2012;26152;2
Public;4 - Infirmiers                                  ;4 - Infirmiers            ;2012;250354;4
Public;;71 - Autres soignants     ;2012;170182;
Public;7 - Autre personnel (soignants et non soignants);;2012;336189;7
Public;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2013;85892;1
Public;4 - Infirmiers                                  ;4 - Infirmiers            ;2013;254111;4
Public;6 - Filière administrative                      ;6 - Filière administrative;2014;104310;6
Public;;72 - Autres non soignants ;2014;168831;
Public;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2015;86786;1
Public;2 - Internes                                    ;2 - Internes              ;2015;30274;2
Public;3 - Sages-femmes                                ;3 - Sages-femmes          ;2015;12692;3
Public;6 - Filière administrative                      ;6 - Filière administrative;2015;104397;6
Public;7 - Autre personnel (soignants et non soignants);;2015;338174;7
Public;4 - Infirmiers                                  ;4 - Infirmiers            ;2016;258815;4
Public;6 - Filière administrative                      ;6 - Filière administrative;2016;103598;6
Public;;72 - Autres non soignants ;2016;168261;
Public;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2017;87746;1
Public;2 - Internes                                    ;2 - Internes              ;2017;31532;2
Public;4 - Infirmiers                                  ;4 - Infirmiers            ;2017;258896;4
Public;;71 - Autres soignants     ;2017;162265;
Public;7 - Autre personnel (soignants et non soignants);;2017;330926;7
Public;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2018;87911;1
Public;;71 - Autres soignants     ;2018;157845;
Public;6 - Filière administrative                      ;6 - Filière administrative;2018;103580;6
Public;7 - Autre personnel (soignants et non soignants);;2018;326946;7
Public;4 - Infirmiers                                  ;4 - Infirmiers            ;2019;259297;4
Public;7 - Autre personnel (soignants et non soignants);;2019;326490;7
Public;3 - Sages-femmes                                ;3 - Sages-femmes          ;2020;13120;3
Public;;72 - Autres non soignants ;2020;172111;
Public;4 - Infirmiers                                  ;4 - Infirmiers            ;2021;260742;4
Public;6 - Filière administrative                      ;6 - Filière administrative;2021;108448;6
Public;7 - Autre personnel (soignants et non soignants);;2021;336043;7
Public;4 - Infirmiers                                  ;4 - Infirmiers            ;2022;258058;4
Public;;71 - Autres soignants     ;2022;159046;
Public;7 - Autre personnel (soignants et non soignants);;2022;333097;7
Privé ;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2003;13494;1
Privé ;2 - Internes                                    ;2 - Internes              ;2003;1248;2
Privé ;5 - Aides-soignants                             ;5 - Aides-soignants       ;2003;50556;5
Privé ;4 - Infirmiers                                  ;4 - Infirmiers            ;2004;67939;4
Privé ;5 - Aides-soignants                             ;5 - Aides-soignants       ;2004;50894;5
Privé ;3 - Sages-femmes                                ;3 - Sages-femmes          ;2005;3328;3
Privé ;5 - Aides-soignants                             ;5 - Aides-soignants       ;2005;52337;5
Privé ;6 - Filière administrative                      ;6 - Filière administrative;2005;35543;6
Privé ;7 - Autre personnel (soignants et non soignants);;2005;89815;7
Privé ;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2006;14565;1
Privé ;5 - Aides-soignants                             ;5 - Aides-soignants       ;2006;54016;5
Privé ;6 - Filière administrative                      ;6 - Filière administrative;2006;36024;6
Privé ;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2007;14725;1
Privé ;5 - Aides-soignants                             ;5 - Aides-soignants       ;2007;54741;5
Privé ;6 - Filière administrative                      ;6 - Filière administrative;2007;36787;6
Privé ;4 - Infirmiers                                  ;4 - Infirmiers            ;2008;77442;4
Privé ;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2009;15391;1
Privé ;6 - Filière administrative                      ;6 - Filière administrative;2009;38101;6
Privé ;4 - Infirmiers                                  ;4 - Infirmiers            ;2010;82133;4
Privé ;;72 - Autres non soignants ;2010;30337;
Privé ;4 - Infirmiers                                  ;4 - Infirmiers            ;2011;82754;4
Privé ;;71 - Autres soignants     ;2011;60595;
Privé ;2 - Internes                                    ;2 - Internes              ;2012;1873;2
Privé ;3 - Sages-femmes                                ;3 - Sages-femmes          ;2012;4023;3
Privé ;6 - Filière administrative                      ;6 - Filière administrative;2012;40475;6
Privé ;7 - Autre personnel (soignants et non soignants);;2012;91424;7
Privé ;;71 - Autres soignants     ;2013;61246;
Privé ;6 - Filière administrative                      ;6 - Filière administrative;2013;40678;6
Privé ;;72 - Autres non soignants ;2013;31066;
Privé ;7 - Autre personnel (soignants et non soignants);;2013;92312;7
Privé ;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2014;17141;1
Privé ;3 - Sages-femmes                                ;3 - Sages-femmes          ;2014;3993;3
Privé ;;72 - Autres non soignants ;2014;31736;
Privé ;3 - Sages-femmes                                ;3 - Sages-femmes          ;2015;3953;3
Privé ;4 - Infirmiers                                  ;4 - Infirmiers            ;2015;89412;4
Privé ;;71 - Autres soignants     ;2015;61571;
Privé ;7 - Autre personnel (soignants et non soignants);;2015;93550;7
Privé ;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2016;18196;1
Privé ;;72 - Autres non soignants ;2016;32457;
Privé ;7 - Autre personnel (soignants et non soignants);;2016;94646;7
Privé ;3 - Sages-femmes                                ;3 - Sages-femmes          ;2017;3919;3
Privé ;5 - Aides-soignants                             ;5 - Aides-soignants       ;2017;59899;5
Privé ;6 - Filière administrative                      ;6 - Filière administrative;2017;42246;6
Privé ;5 - Aides-soignants                             ;5 - Aides-soignants       ;2018;59980;5
Privé ;;71 - Autres soignants     ;2018;60937;
